"State","totalRegistered","registeredPerc","Pop"
"Maine",828000,"0.7710",1345790
"Mississippi",1599000,"0.7290",2989260
"Michigan",5453000,"0.7120",10045029
"North Dakota",397000,"0.7090",761723
"Kentucky",2389000,"0.7090",4499692
"Minnesota",3000000,"0.7080",5700671
"Missouri",3299000,"0.7060",6169270
"Wisconsin",3129000,"0.7050",5851754
"Montana",579000,"0.7040",1086759
"District of Columbia",438373,"0.6521",672228
"Iowa",1658000,"0.6980",3179849
"Oregon",2274000,"0.6910",4301089
"Ohio",6062000,"0.6830",11747694
"Vermont",343000,"0.6810",628061
"Kansas",1449000,"0.6740",2910357
"New Hampshire",726000,"0.6720",1371246
"Washington",3852000,"0.6670",7797095
"Alabama",2490000,"0.6640",4908621
"Maryland",3095000,"0.6630",6083116
"South Dakota",429000,"0.6620",903027
"Louisiana",2263000,"0.6540",4645184
"Pennsylvania",6469000,"0.6520",12820878
"North Carolina",5160000,"0.6520",10611862
"Virginia",4159000,"0.6510",8626207
"Alaska",337000,"0.6440",734002
"Utah",1443000,"0.6420",3282115
"Rhode Island",532000,"0.6420",1056161
"West Virginia",892000,"0.6340",1778070
"Indiana",3131000,"0.6250",6745354
"Wyoming",268000,"0.6240",567025
"Illinois",6068000,"0.6240",12659682
"Delaware",472000,"0.6240",982895
"South Carolina",2430000,"0.6210",5210095
"Oklahoma",1777000,"0.6200",3954821
"Nebraska",883000,"0.6190",1952570
"Georgia",4840000,"0.6170",10736059
"New Jersey",4297000,"0.6130",8936574
"Massachusetts",3345000,"0.6130",6976597
"Tennessee",3183000,"0.6120",6897576
"Connecticut",1726000,"0.6090",3563077
"Colorado",2645000,"0.6080",5845526
"Arizona",3262000,"0.6080",7378494
"New Mexico",916000,"0.5810",2096640
"Idaho",743000,"0.5720",1826156
"Florida",9435000,"0.5600",21992985
"Arkansas",1262000,"0.5580",3038999
"New York",8553000,"0.5530",19440469
"Texas",11634000,"0.5520",29472295
"Nevada",1277000,"0.5500",3139658
"California",15690000,"0.5190",39937489
"Hawaii",523000,"0.4950",1412687